name,card_type,mana_cost,converted_cost,rules_text,rarity,latest_set,all_sets,legal_formats,power,toughness
Acidic Sliver,"Creature  — Sliver
                                (2/2)","['Black', 'Red']",2,"All Slivers have ""2 , Sacrifice this permanent: This permanent deals 2 damage to any target.""",Uncommon,Tempest Remastered,"['Stronghold (Uncommon)', 'Premium Deck Series: Slivers (Uncommon)', 'Tempest Remastered (Uncommon)']","['Legacy', 'Vintage', 'Commander']",2,2
Acidic Soil,Sorcery,"['2', 'Red']",3,Acidic Soil deals damage to each player equal to the number of lands they control.,Uncommon,Urza's Saga,1,"['Legacy', 'Vintage', 'Commander']",c,r
Acid-Spewer Dragon,"Creature  — Dragon
                                (3/3)","['5', 'Black']",6,"Flying, deathtouchMegamorph 5 Black Black  <i>(You may cast this card face down as a 2/2 creature for . Turn it face up any time for its megamorph cost and put a +1/+1 counter on it.)</i>When Acid-Spewer Dragon is turned face up, put a +1/+1 counter on each other Dragon creature you control.",Uncommon,Dragons of Tarkir,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",3,3
Acolyte Hybrid,"Creature  — Tyranid Human
                                (2/2)","['2', 'Red']",3,"<i>Heavy Rock Cutter</i> — Whenever Acolyte Hybrid attacks, destroy up to one target artifact. If an artifact is destroyed this way, its controller draws a card.",Uncommon,"Warhammer 40,000 Commander",1,"['Legacy', 'Vintage', 'Commander']",2,2
Acolyte of Affliction,"Creature  — Human Cleric
                                (2/3)","['2', 'Black', 'Green']",4,"When Acolyte of Affliction enters the battlefield, mill two cards, then you may return a permanent card from your graveyard to your hand.",Uncommon,Theros Beyond Death,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",2,3
Acolyte of Bahamut,Legendary Enchantment  — Background,"['1', 'Green']",2,"Commander creatures you own have ""The first Dragon spell you cast each turn costs 2  less to cast.""",Uncommon,Commander Legends: Battle for Baldur's Gate,1,"['Legacy', 'Vintage', 'Commander']",o,n
Acolyte of the Inferno,"Creature  — Human Monk
                                (3/1)","['2', 'Red']",3,"Renown 1 <i>(When this creature deals combat damage to a player, if it isn't renowned, put a +1/+1 counter on it and it becomes renowned.)</i>Whenever Acolyte of the Inferno becomes blocked by a creature, it deals 2 damage to that creature.",Uncommon,Magic Origins,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",3,1
Acolyte of Xathrid,"Creature  — Human Cleric
                                (0/1)",['Black'],1,"1 Black , Tap : Target player loses 1 life.",Common,Magic 2010,1,"['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",0,1
Acolyte's Reward,Instant,"['1', 'White']",2,"Prevent the next X damage that would be dealt to target creature this turn, where X is your devotion to white. If damage is prevented this way, Acolyte's Reward deals that much damage to any target. <i>(Each  in the mana costs of permanents you control counts toward your devotion to white.)</i>",Uncommon,Born of the Gods,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",t,n
Acorn Catapult,Artifact,['4'],4,"1 , Tap : Acorn Catapult deals 1 damage to any target. That permanent's controller or that player creates a 1/1 green Squirrel creature token.",Rare,Magic: The Gathering-Commander,1,"['Legacy', 'Vintage', 'Commander']",f,c
Acorn Harvest,Sorcery,"['3', 'Green']",4,"Create two 1/1 green Squirrel creature tokens.Flashback—1 Green , Pay 3 life. <i>(You may cast this card from your graveyard for its flashback cost. Then exile it.)</i>",Common,Torment,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",c,r
"Acornelia, Fashionable Filcher","Legendary Creature  — Squirrel
                                (3/3)","['3', 'Black']",4,"Whenever you cast a spell with a squirrel in its art, you get  <i>(an acorn counter)</i>.Whenever a Squirrel you control enters the battlefield or dies, you get .2 Black , Pay X : Target creature gets -X/-X until end of turn.Green , Pay X : Target creature gets +X/+X until end of turn.",Rare,Unsanctioned,1,[],3,3
Acquire,Sorcery,"['3', 'Blue', 'Blue']",5,Search target opponent's library for an artifact card and put that card onto the battlefield under your control. Then that player shuffles.,Rare,Fifth Dawn,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",c,r
Acquisition Octopus,"Artifact Creature  — Equipment Octopus
                                (2/2)","['2', 'Blue']",3,"Whenever Acquisition Octopus or equipped creature deals combat damage to a player, draw a card.Reconfigure 2  <i>(: Attach to target creature you control; or unattach from a creature. Reconfigure only as a sorcery. While attached, this isn't a creature.)</i>",Uncommon,Kamigawa: Neon Dynasty,1,"['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Alchemy', 'Explorer']",2,2
Acquisitions Expert,"Creature  — Human Rogue
                                (1/2)","['1', 'Black']",2,"When Acquisitions Expert enters the battlefield, target opponent reveals a number of cards from their hand equal to the number of creatures in your party. You choose one of those cards. That player discards that card. <i>(Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)</i>",Uncommon,Zendikar Rising,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",1,2
Acridian,"Creature  — Insect
                                (2/4)","['1', 'Green']",2,"Echo 1 Green  <i>(At the beginning of your upkeep, if this came under your control since the beginning of your last upkeep, sacrifice it unless you pay its echo cost.)</i>",Common,Urza's Saga,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",2,4
Acrobatic Maneuver,Instant,"['2', 'White']",3,"Exile target creature you control, then return that card to the battlefield under its owner's control.Draw a card.",Common,Jumpstart 2022,"['Kaladesh (Common)', 'Jumpstart 2022 (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",t,n
Act of Aggression,Instant,"['3', 'Phyrexian Red', 'Phyrexian Red']",5,<i>( can be paid with either  or 2 life.)</i>Gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.,Uncommon,Commander 2015,"['New Phyrexia (Uncommon)', 'Commander 2015 (Uncommon)']","['Modern', 'Legacy', 'Vintage', 'Commander']",t,n
Act of Authority,Enchantment,"['1', 'White', 'White']",3,"When Act of Authority enters the battlefield, you may exile target artifact or enchantment.At the beginning of your upkeep, you may exile target artifact or enchantment. If you do, its controller gains control of Act of Authority.",Rare,Commander 2013 Edition,1,"['Legacy', 'Vintage', 'Commander']",m,n
Act of Heroism,Instant,"['1', 'White']",2,Untap target creature. It gets +2/+2 until end of turn and can block an additional creature this turn.,Common,Masters 25,"['Hour of Devastation (Common)', 'Masters 25 (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",t,n
Act of Treason,Sorcery,"['2', 'Red']",3,Gain control of target creature until end of turn. Untap that creature. It gains haste until end of turn. <i>(It can attack and  this turn.)</i>,Common,Jumpstart,"['Magic 2010 (Uncommon)', 'Magic 2011 (Common)', 'Magic 2012 (Common)', 'Gatecrash (Common)', 'Magic 2014 Core Set (Common)', 'Duel Decks: Speed vs. Cunning (Common)', 'Khans of Tarkir (Common)', 'Magic Origins (Common)', 'Masters 25 (Common)', 'Core Set 2019 (Common)', 'Ravnica Allegiance (Common)', 'Core Set 2020 (Common)', 'Jumpstart (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",c,r
Act on Impulse,Sorcery,"['2', 'Red']",3,"Exile the top three cards of your library. Until end of turn, you may play those cards. <i>(If you cast a spell this way, you still pay its costs. You can play a land this way only if you have an available land play remaining.)</i>",Uncommon,Jumpstart 2022,"['Magic 2015 Core Set (Uncommon)', 'Jumpstart 2022 (Uncommon)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",c,r
Activated Sleeper,"Creature  — Phyrexian Shapeshifter
                                (0/0)","['2', 'Black']",3,"FlashYou may have Activated Sleeper enter the battlefield as a copy of any creature card in a graveyard that was put there from the battlefield this turn, except it's a Phyrexian in addition to its other types.",Rare,Dominaria United Commander,1,"['Legacy', 'Vintage', 'Commander']",0,0
Active Volcano,Instant,['Red'],1,Choose one —• Destroy target blue permanent.• Return target Island to its owner's hand.,Uncommon,Masters Edition III,"['Legends (Common)', 'Chronicles (Common)', 'Masters Edition III (Uncommon)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",t,n
Ad Nauseam,Instant,"['3', 'Black', 'Black']",5,Reveal the top card of your library and put that card into your hand. You lose life equal to its mana value. You may repeat this process any number of times.,Rare,Double Masters,"['Shards of Alara (Rare)', 'Double Masters (Rare)']","['Modern', 'Legacy', 'Vintage', 'Commander']",t,n
Adamant Will,Instant,"['1', 'White']",2,"Target creature gets +2/+2 and gains indestructible until end of turn. <i>(Damage and effects that say ""destroy"" don't destroy it.)</i>",Common,Innistrad: Crimson Vow,"['Dominaria (Common)', 'Innistrad: Crimson Vow (Common)']","['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Alchemy', 'Explorer']",t,n
"Adamaro, First to Desire","Legendary Creature  — Spirit
                                (*/*)","['1', 'Red', 'Red']",3,"Adamaro, First to Desire's power and toughness are each equal to the number of cards in the hand of the opponent with the most cards in hand.",Rare,Saviors of Kamigawa,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",*,*
Adanto Vanguard,"Creature  — Vampire Soldier
                                (1/1)","['1', 'White']",2,"As long as Adanto Vanguard is attacking, it gets +2/+0.Pay 4 life: Adanto Vanguard gains indestructible until end of turn. <i>(Damage and effects that say ""destroy"" don't destroy it.)</i>",Uncommon,Ixalan,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",1,1
"Adanto, the First Fort",Legendary Land,[],0,,,,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",L,n
Adaptive Automaton,"Artifact Creature  — Construct
                                (2/2)",['3'],3,"As Adaptive Automaton enters the battlefield, choose a creature type.Adaptive Automaton is the chosen type in addition to its other types.Other creatures you control of the chosen type get +1/+1.",Rare,The Brothers' War Retro Artifacts,"['Magic 2012 (Rare)', 'Explorers of Ixalan (Rare)', 'Double Masters (Rare)', 'Warhammer 40,000 Commander (Rare)', ""The Brothers' War Retro Artifacts (Rare)""]","['Modern', 'Legacy', 'Vintage', 'Commander', 'Historic']",2,2
Adaptive Shimmerer,"Creature  — Insect
                                (0/0)",['5'],5,FlashAdaptive Shimmerer enters the battlefield with three +1/+1 counters on it.,Common,Ikoria: Lair of Behemoths,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",0,0
Adaptive Snapjaw,"Creature  — Lizard Beast
                                (6/2)","['4', 'Green']",5,"Evolve <i>(Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)</i>",Common,Jumpstart: Historic Horizons,"['Gatecrash (Common)', 'Jumpstart: Historic Horizons (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",6,2
Adaptive Sporesinger,"Creature — — Phyrexian Druid
                                (2/2)","['2', 'Green']",3,"VigilanceWhen Adaptive Sporesinger enters the battlefield, choose one —• Target creature gets +2/+2 and gains vigilance until end of turn.• Proliferate. <i>(Choose any number of permanents and/or players, then give each another counter of each kind already there.)</i>",Common,Phyrexia: All Will Be One,1,"['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Alchemy', 'Explorer']",2,2
Adarkar Sentinel,"Artifact Creature  — Soldier
                                (3/3)",['5'],5,1 : Adarkar Sentinel gets +0/+1 until end of turn.,Common,Masters Edition II,"['Ice Age (Uncommon)', 'Masters Edition II (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",3,3
Adarkar Unicorn,"Creature  — Unicorn
                                (2/2)","['1', 'White', 'White']",3,Tap : Add Blue  or Colorless Blue . Spend this mana only to pay cumulative upkeep costs.,Common,Ice Age,1,"['Legacy', 'Vintage', 'Commander', 'Pauper']",2,2
Adarkar Valkyrie,"Snow Creature  — Angel
                                (4/5)","['4', 'White', 'White']",6,"Flying, vigilanceTap : When target creature other than Adarkar Valkyrie dies this turn, return that card to the battlefield under your control.",Rare,Commander 2018,"['Coldsnap (Rare)', 'Modern Masters (Rare)', 'Commander 2014 (Rare)', 'Commander 2018 (Rare)']","['Modern', 'Legacy', 'Vintage', 'Commander']",4,5
Adarkar Wastes,Land,[],0,Tap : Add Colorless .Tap : Add White  or Blue . Adarkar Wastes deals 1 damage to you.,Rare,Dominaria United,"['Fifth Edition (Rare)', 'Classic Sixth Edition (Rare)', 'Seventh Edition (Rare)', 'Ninth Edition (Rare)', 'Ice Age (Rare)', 'Tenth Edition (Rare)', 'Dominaria United (Rare)']","['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Alchemy', 'Explorer']",L,n
Adarkar Windform,"Snow Creature  — Illusion
                                (3/3)","['4', 'Blue']",5,Flying1 Snow : Target creature loses flying until end of turn. <i>( can be paid with one mana from a snow source.)</i>,Uncommon,Coldsnap,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",3,3
Adder-Staff Boggart,"Creature  — Goblin Warrior
                                (2/1)","['1', 'Red']",2,"When Adder-Staff Boggart enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Adder-Staff Boggart. <i>(Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)</i>",Common,Lorwyn,1,"['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,1
Addle,Sorcery,"['1', 'Black']",2,Choose a color. Target player reveals their hand and you choose a card of that color from it. That player discards that card.,Common,Vintage Masters,"['Invasion (Uncommon)', 'Vintage Masters (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",c,r
"Adeline, Resplendent Cathar","Legendary Creature  — Human Knight
                                (*/4)","['1', 'White', 'White']",3,"VigilanceAdeline, Resplendent Cathar's power is equal to the number of creatures you control.Whenever you attack, for each opponent, create a 1/1 white Human creature token that's tapped and attacking that player or a planeswalker they control.",Rare,Innistrad: Midnight Hunt,1,"['Standard', 'Brawl', 'Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Alchemy', 'Explorer']",*,4
"Adeliz, the Cinder Wind","Legendary Creature  — Human Wizard
                                (2/2)","['1', 'Blue', 'Red']",3,"Flying, hasteWhenever you cast an instant or sorcery spell, Wizards you control get +1/+1 until end of turn.",Uncommon,Dominaria,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",2,2
Adherent of Hope,"Creature  — Human Soldier
                                (2/1)","['1', 'White']",2,"At the beginning of combat on your turn, if you control a Basri planeswalker, put a +1/+1 counter on Adherent of Hope.",Common,Core Set 2021,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",2,1
Admiral Beckett Brass,"Legendary Creature  — Human Pirate
                                (3/3)","['1', 'Blue', 'Black', 'Red']",4,"Other Pirates you control get +1/+1.At the beginning of your end step, gain control of target nonland permanent controlled by a player who was dealt combat damage by three or more Pirates this turn.",Mythic Rare,Ixalan,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",3,3
Admiral's Order,Instant,"['1', 'Blue', 'Blue']",3,"<i>Raid</i> — If you attacked this turn, you may pay Blue  rather than pay this spell's mana cost.Counter target spell.",Rare,Rivals of Ixalan,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",t,n
Admonition Angel,"Creature  — Angel
                                (6/6)","['3', 'White', 'White', 'White']",6,"Flying<i>Landfall</i> — Whenever a land enters the battlefield under your control, you may exile target nonland permanent other than Admonition Angel.When Admonition Angel leaves the battlefield, return all cards exiled with it to the battlefield under their owners' control.",Mythic Rare,Zendikar Rising Commander,"['Worldwake (Mythic Rare)', 'Zendikar Rising Commander (Mythic Rare)']","['Modern', 'Legacy', 'Vintage', 'Commander']",6,6
Adorable Kitten,"Host Creature  — Cat
                                (1/1)",['White'],1,"When this creature enters the battlefield, roll a six-sided die. You gain life equal to the result.",Common,Unsanctioned,"['Unstable (Common)', 'Unsanctioned (Common)']",[],1,1
Adorned Pouncer,"Creature  — Cat
                                (1/1)","['1', 'White']",2,"Double strikeEternalize 3 White White  <i>(, Exile this card from your graveyard: Create a token that's a copy of it, except it's a 4/4 black Zombie Cat with no mana cost. Eternalize only as a sorcery.)</i>",Rare,Historic Anthology 4,"['Hour of Devastation (Rare)', 'Historic Anthology 4 (Rare)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",1,1
"Adriana, Captain of the Guard","Legendary Creature  — Human Knight
                                (4/4)","['3', 'Red', 'White']",5,"Melee <i>(Whenever this creature attacks, it gets +1/+1 until end of turn for each opponent you attacked this combat.)</i>Other creatures you control have melee. <i>(If a creature has multiple instances of melee, each triggers separately.)</i>",Rare,Phyrexia: All Will Be One Commander,"['Conspiracy: Take the Crown (Rare)', 'Ikoria Commander (Rare)', 'Dominaria United Commander (Rare)', 'Phyrexia: All Will Be One Commander (Rare)']","['Legacy', 'Vintage', 'Commander']",4,4
"Adrix and Nev, Twincasters","Legendary Creature  — Merfolk Wizard
                                (2/2)","['2', 'Green', 'Blue']",4,"Ward 2  <i>(Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays .)</i>If one or more tokens would be created under your control, twice that many of those tokens are created instead.",Mythic Rare,Commander 2021,1,"['Legacy', 'Vintage', 'Commander']",2,2
Adult Gold Dragon,"Creature  — Dragon
                                (4/3)","['3', 'Red', 'White']",5,"Flying, lifelink, haste",Rare,Adventures in the Forgotten Realms,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",4,3
Adun Oakenshield,"Legendary Creature  — Human Knight
                                (1/2)","['Black', 'Red', 'Green']",3,"Black Red Green , Tap : Return target creature card from your graveyard to your hand.",Rare,Masters Edition,"['Legends (Rare)', 'Masters Edition (Rare)']","['Legacy', 'Vintage', 'Commander']",1,2
Advance Scout,"Creature  — Human Soldier Scout
                                (1/1)","['1', 'White']",2,First strikeWhite : Target creature gains first strike until end of turn.,Common,Battle Royale Box Set,"['Tempest (Common)', 'Battle Royale Box Set (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",1,1
Advanced Hoverguard,"Creature  — Drone
                                (2/2)","['3', 'Blue']",4,FlyingBlue : Advanced Hoverguard gains shroud until end of turn. <i>(It can't be the target of spells or abilities.)</i>,Common,Fifth Dawn,1,"['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,2
Advanced Stitchwing,"Creature  — Zombie Horror
                                (3/4)","['3', 'Blue', 'Blue']",5,"Flying2 Blue , Discard two cards: Return Advanced Stitchwing from your graveyard to the battlefield tapped.",Common,Double Masters 2022,"['Eldritch Moon (Uncommon)', 'Game Night (Uncommon)', 'Double Masters 2022 (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",3,4
Advent of the Wurm,Instant,"['1', 'Green', 'Green', 'White']",4,Create a 5/5 green Wurm creature token with trample.,Rare,Guild Kit: Selesnya,"[""Dragon's Maze (Rare)"", 'Modern Masters 2017 Edition (Rare)', 'Guild Kit: Selesnya (Rare)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",t,n
Adventure Awaits,Sorcery,"['1', 'Green']",2,"Look at the top five cards of your library. You may reveal a creature card from among them and put it into your hand. Put the rest on the bottom of your library in a random order. If you didn't put a card into your hand this way, draw a card.",Common,Zendikar Rising,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",c,r
Adventurers' Guildhouse,Land,[],0,"Green legendary creatures you control have ""bands with other legendary creatures."" <i>(Any legendary creatures can attack in a band as long as at least one has ""bands with other legendary creatures."" Bands are blocked as a group. If at least two legendary creatures you control, one of which has ""bands with other legendary creatures,"" are blocking or being blocked by the same creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)</i>",Uncommon,Legends,1,"['Legacy', 'Vintage', 'Commander']",L,n
Adventuring Gear,Artifact  — Equipment,['1'],1,"<i>Landfall</i> — Whenever a land enters the battlefield under your control, equipped creature gets +2/+2 until end of turn.Equip 1  <i>(: Attach to target creature you control. Equip only as a sorcery.)</i>",Common,Jumpstart 2022,"['Zendikar (Common)', 'Jumpstart 2022 (Common)']","['Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",m,n
Adventurous Impulse,Sorcery,['Green'],1,Look at the top three cards of your library. You may reveal a creature or land card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,Common,Jumpstart 2022,"['Dominaria (Common)', 'Ikoria: Lair of Behemoths (Common)', 'Strixhaven Mystical Archive (Uncommon)', 'Jumpstart 2022 (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",c,r
Adverse Conditions,Instant,"['3', 'Blue']",4,"Devoid <i>(This card has no color.)</i>Tap up to two target creatures. Those creatures don't untap during their controller's next untap step. Create a 1/1 colorless Eldrazi Scion creature token. It has ""Sacrifice this creature: Add Colorless .""",Uncommon,Battle for Zendikar,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",t,n
Advice from the Fae,Sorcery,"['Two or Blue', 'Two or Blue', 'Two or Blue']",6,"<i>( can be paid with any two mana or with . This card's mana value is 6.)</i>Look at the top five cards of your library. If you control more creatures than each other player, put two of those cards into your hand. Otherwise, put one of them into your hand. Then put the rest on the bottom of your library in any order.",Uncommon,Shadowmoor,1,"['Modern', 'Legacy', 'Vintage', 'Commander']",c,r
Advocate of the Beast,"Creature  — Elf Shaman
                                (2/3)","['2', 'Green']",3,"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.",Common,Magic 2014 Core Set,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",2,3
"Aegar, the Freezing Flame","Legendary Creature  — Giant Wizard
                                (3/3)","['1', 'Blue', 'Red']",3,"Whenever a creature or planeswalker an opponent controls is dealt excess damage, if a Giant, Wizard, or spell you controlled dealt damage to it this turn, draw a card.",Uncommon,Kaldheim,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",3,3
Aegis Angel,"Creature  — Angel
                                (5/5)","['4', 'White', 'White']",6,"Flying <i>(This creature can't be blocked except by creatures with flying or reach.)</i>When Aegis Angel enters the battlefield, another target permanent gains indestructible for as long as you control Aegis Angel. <i>(Effects that say ""destroy"" don't destroy it. A creature with indestructible can't be destroyed by damage.)</i>",Rare,Archenemy: Nicol Bolas,"['Magic 2012 (Rare)', 'Magic 2015 Core Set (Rare)', 'Magic Origins (Rare)', 'Welcome Deck 2016 (Rare)', 'Archenemy: Nicol Bolas (Rare)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",5,5
Aegis Automaton,"Artifact Creature  — Construct
                                (0/3)",['2'],2,4 White : Return another target creature you control to its owner's hand.,Common,Aether Revolt,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",0,3
Aegis of Honor,Enchantment,['White'],1,"1 : The next time an instant or sorcery spell would deal damage to you this turn, that spell deals that damage to its controller instead.",Rare,Odyssey,1,"['Legacy', 'Vintage', 'Commander']",m,n
Aegis of the Gods,"Enchantment Creature  — Human Soldier
                                (2/1)","['1', 'White']",2,You have hexproof. <i>(You can't be the target of spells or abilities your opponents control.)</i>,Rare,Journey into Nyx,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander']",2,1
Aegis of the Heavens,Instant,"['1', 'White']",2,Target creature gets +1/+7 until end of turn.,Uncommon,Jumpstart,"['Core Set 2019 (Uncommon)', 'Jumpstart (Uncommon)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",t,n
Aegis of the Meek,Artifact,['3'],3,"1 , Tap : Target 1/1 creature gets +1/+2 until end of turn.",Rare,Ice Age,1,"['Legacy', 'Vintage', 'Commander']",f,c
Aegis Turtle,"Creature  — Turtle
                                (0/5)",['Blue'],1,,Common,Jumpstart,"['Ikoria: Lair of Behemoths (Common)', 'Jumpstart (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",0,5
Aeolipile,Artifact,['2'],2,"1 , Tap , Sacrifice Aeolipile: It deals 2 damage to any target.",Common,Masters Edition II,"['Fallen Empires (Rare)', 'Masters Edition II (Common)']","['Legacy', 'Vintage', 'Commander', 'Pauper']",f,c
Aeon Chronicler,"Creature  — Avatar
                                (*/*)","['3', 'Blue', 'Blue']",5,"Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.Suspend X—Variable Colorless 3 Blue . X can't be 0.Whenever a time counter is removed from Aeon Chronicler while it's exiled, draw a card.",Rare,Time Spiral Remastered,"['Planar Chaos (Rare)', 'Duel Decks: Jace vs. Vraska (Rare)', 'Commander 2016 (Rare)', 'Time Spiral Remastered (Rare)']","['Modern', 'Legacy', 'Vintage', 'Commander']",*,*
Aeon Engine,Artifact,['5'],5,"Aeon Engine enters the battlefield tapped.Tap , Exile Aeon Engine: Reverse the game's turn order. <i>(For example, if play had proceeded clockwise around the table, it now goes counterclockwise.)</i>",Rare,Commander 2019,1,"['Legacy', 'Vintage', 'Commander']",f,c
rathi Berserker (Aerathi Berserker),"Creature  — Human Berserker
                                (2/4)","['2', 'Red', 'Red', 'Red']",5,"Rampage 3 <I>(Whenever this creature becomes blocked, it gets +3/+3 until end of turn for each creature blocking it beyond the first.)</I>",Uncommon,Legends,1,"['Legacy', 'Vintage', 'Commander']",2,4
Aerial Assault,Sorcery,"['2', 'White']",3,Destroy target tapped creature. You gain 1 life for each creature you control with flying.,Common,Jumpstart,"['Core Set 2020 (Common)', 'Jumpstart (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",c,r
Aerial Caravan,"Creature  — Human Soldier
                                (4/3)","['4', 'Blue', 'Blue']",6,"Flying1 Blue Blue : Exile the top card of your library. Until end of turn, you may play that card. <I>(Reveal the card as you exile it.)</I>",Rare,Mercadian Masques,1,"['Legacy', 'Vintage', 'Commander']",4,3
Aerial Engineer,"Creature  — Human Artificer
                                (2/4)","['2', 'White', 'Blue']",4,"As long as you control an artifact, Aerial Engineer gets +2/+0 and has flying.",Uncommon,Core Set 2019,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Historic', 'Explorer']",2,4
Aerial Extortionist,"Creature  — Bird Soldier
                                (4/3)","['3', 'White', 'White']",5,"FlyingWhenever Aerial Extortionist enters the battlefield or deals combat damage to a player, exile up to one target nonland permanent. For as long as that card remains exiled, its owner may cast it.Whenever another player casts a spell from anywhere other than their hand, draw a card.",Rare,Streets of New Capenna Commander,1,"['Legacy', 'Vintage', 'Commander']",4,3
Aerial Formation,Instant,['Blue'],1,<i>Strive</i> — This spell costs 2 Blue  more to cast for each target beyond the first.Any number of target creatures each get +1/+1 and gain flying until end of turn.,Common,Journey into Nyx,1,"['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper']",t,n
Aerial Guide,"Creature  — Drake
                                (2/2)","['2', 'Blue']",3,"FlyingWhenever Aerial Guide attacks, another target attacking creature gains flying until end of turn.",Common,Amonkhet Remastered,"['Hour of Devastation (Common)', 'Amonkhet Remastered (Common)']","['Pioneer', 'Modern', 'Legacy', 'Vintage', 'Commander', 'Pauper', 'Historic', 'Explorer']",2,2
